rank,name,power,kills,weekly_contribution,construction,tribe_assistance,gold_donation,read_rank,is_valid
1,Razsiel,47459236,5073,89000,,1798,47665,1,True
2,Raffyy,24456551,,84500,0,1684,1830,2,True
3,чэчъ1456551,24399349,,,,,,,True
4,kimse81,24399349,,67800,24602,1052,3535,3,True
5,AntyDeath,21677140,91432543,84300,89891,1346,1030,4,True
6,bigcheese,21484730,399235,93000,0,266,2695,5,True
7,Taidana,19046565,,79000,87369,1150,1881,6,True
8,XSTORMX,17011907,18407,78200,2813,1920,1860,7,True
9,KMGLAY,14610418,,75300,4565,1685,230,8,True
10,xAeolus,14354915,17302,78200,59032,1399,1190,9,True
11,NanP,13227317,,88700,132015,1375,3355,10,True
12,Batangbata,13218205,698716,81500,126181,988,495,11,True
13,Tecchi,12267458,182952,78600,40142,1126,90,12,True
14,Marinel,11613929,11568,85100,3938,1143,181,13,True
15,xMorphx,11560712,7412,85400,30127,3698,1520,14,True
16,Baronbee,10681951,,75900,58441,3742,435,15,True
17,Douzeper,10468619,108468,63300,13330,845,95,16,True
18,VonGodeuro,10266958,209374,79000,,920,,17,True
19,TeddyT,10169337,379808,64900,49572,661,305,18,True
20,AutisticDragon,9830944,328782,82700,0,1046,315,19,True
21,Riggles,9661120,,19100,,133,2075,20,True
22,CHADZ,9658338,6760,80100,19896,1384,,21,True
23,在下梅遊鉛,9533610,20951,73400,,889,,22,True
24,DragonKiller,9422574,176447,83200,4523,1048,,23,True
25,BestGodOOZx,9342854,38601,79700,11410,1118,,24,True
26,redripe,9196563,,43100,0,569,,25,True
27,xesseku,9128974,10249,79700,155520,877,25,26,True
28,bloodyxmary,9082429,55973,82100,20763,637,75,27,True
29,Ornthrond,9012184,31861,85600,,1491,,28,True
30,Novac,8921067,3521,105400,11158,2231,75,29,True
31,mamon,8781524,36627,73900,,667,,30,True
32,AuditorMuda,8562705,,81800,158196,3756,,31,True
33,Zph,8497762,553767,12300,4501,422,50,32,True
34,SeRaFeTTiN,8427320,168406,71400,3306,505,,33,True
35,Kalbaram,8096083,,84400,16866,2267,120,34,True
36,no3Ldev,8042991,1238920,79300,22039,1144,20,35,True
37,Shreff,7960561,,74600,,844,1840,36,True
38,すももん,7949528,,86000,,1434,,37,True
39,Helikaeon,7783026,,63300,48566,679,55,38,True
40,Khaleesil3,7662156,,73900,41192,1161,,39,True
41,AlfaStraik,7406296,8606,76400,0,803,,40,True
42,beast,7113595,,1000,,,,41,True
43,Zoraool,6941341,,86900,139199,1009,50,42,True
44,ゆ一一,6850017,7182,30200,,477,,43,True
45,TheGuardainz,6847836,,59900,25534,445,,44,True
46,ThorOMG,6809873,,57600,2627,960,55,45,True
47,HoTDog,6772856,24866,56200,79429,734,5,46,True
48,Abanob,6720256,18743,7700,,122,,47,True
49,Dentonl04,6623883,,83300,25479,797,75,48,True
50,drikol,6436338,3346,68600,48030,448,,49,True
51,chamame,6406455,2997,35400,,613,,50,True
52,ZINK,6387567,2492,75500,,1094,,51,True
53,FreakyJD,6372031,,87400,15974,1335,55,52,True
54,lizardcub,6351030,,41000,34278,271,55,53,True
55,BigZik,6264838,662,71700,18286,805,,54,True
56,Windows8,6263935,,50800,,808,,55,True
57,PWQJEJFL,6214400,7440,88300,5386,824,,56,True
58,klA,6180629,,15700,,470,105,57,True
59,RisingCrown,6098589,30744,58300,37820,491,775,58,True
60,Layy,5903378,,47300,,348,,59,True
61,Kudgar,5892475,,3700,,,,60,True
62,Phantompain,5824590,5547,63600,,129,530,61,True
63,Cy4nnn,5817425,,90900,,551,,62,True
64,Azorero,5767573,34660,64400,5588,402,,63,True
65,RamoxD,5683980,,70000,,,,64,True
66,yakut,5542645,1236,21000,5299,240,,65,True
67,hefesto,5532164,,,,,,66,True
68,칭키스칸,5494198,,70600,,242,,67,True
69,HEMANN,5478561,1868,78600,,450,,68,True
70,gabbu,5325731,18697,83000,1711,1119,,69,True
71,ROTT,5302959,10247,,500,,,70,True
72,weshcoll,5155331,,24400,,288,,71,True
73,ErdiAksoy37,4746830,,59100,,155,,72,True
74,MCGTHEGEMINI,4676241,,30200,,,,73,True
75,Lemarck,4530446,,35000,,332,,74,True
76,Tarub,4448382,,23600,,203,,75,True
77,YaVuZ,4283237,146000,8700,3312,,,76,True
78,krales,4103340,67870,200,,,,77,True
79,Rebelyus,4102576,4091,31700,,215,,78,True
80,ERINX,4032062,,52500,18003,264,20,79,True
81,Moliaro,3698153,,6500,,,,80,True
82,Memobrw,3176244,25582,,,,,81,True
83,Rocco23,2408401,,8900,,,,82,True
