rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,50327599,5073,106800,,2133,1,True
2,kimse81,27818749,,79100,24602,1324,2,True
3,Raffyy,24725991,42266,89800,,,3,True
4,AntyDeath,22519676,1537965,92300,0,,4,True
5,bigcheese,22060375,639264,99900,,,5,True
6,XSTORMx,21001342,18407,85700,19669,,6,True
7,Taidana,19359155,,92100,99124,1350,7,True
8,xAeolus,15893880,17302,84300,59032,1596,8,True
9,KMGLAY,15375967,,93200,14223,2048,9,True
10,Batangbata,14771561,1114008,96800,163802,1334,10,True
11,xMorphx,14147670,7412,96500,30127,3974,11,True
12,Marinel,13751383,19757,100700,3938,1380,12,True
13,NanP,13227317,,88700,132015,1375,13,True
14,Tecchi,12897918,182952,89500,54147,1494,14,True
15,VonGodeuro,11439411,943233,92300,,1176,15,True
16,AutisticDragon,11381951,352013,88200,0,,16,True
17,CHADZ,11240578,6760,97600,21737,1660,17,True
18,Baronbee,11231315,,90800,100220,2018,18,True
19,Douzeper,10823110,108468,70000,14693,978,19,True
20,Novac,10654667,3521,121400,11158,2740,20,True
21,TeddyT,10595502,379808,78200,49572,711,21,True
22,xesseku,10410805,10249,96600,186663,989,22,True
23,redripe,10197146,,62300,,682,23,True
24,BestGodOOZx,10123691,58994,92700,11410,1259,24,True
25,bloodyxmary,10018179,55973,101100,20763,693,25,True
26,Zph,9989293,556373,23900,32315,840,26,True
27,DragonKiller,9946724,176447,92300,4523,1112,27,True
28,在下梅遊鉛,9922904,20951,85600,16696,1069,28,True
29,Ornthrond,9869237,31861,102200,,1694,29,True
30,Riggles,9781575,,26800,,145,30,True
31,Zoraool,9434434,,98800,166098,1326,31,True
32,SeRaFeTTiN,9291204,205671,88200,3306,638,32,True
33,ゆ一一,9256830,7182,48500,,769,33,True
34,すももん,9073070,,95000,,1603,34,True
35,AuditorMuda,9072781,,94200,203604,2090,35,True
36,mamon,9064533,36627,90700,,731,36,True
37,Kalbaram,8791106,,95800,45590,2660,37,True
38,Zlithx,8749207,,5400,,146,38,True
39,AlfaStraik,8549958,8606,91600,,1032,39,True
40,Kazyma,8372257,,10000,,,40,True
41,Shreff,8280081,,82600,,903,41,True
42,Khaleesil3,8139041,51879,88800,55568,1297,42,True
43,no3Ldev,8080416,1238920,83700,22039,1157,43,True
44,公公春夢,7870286,54310,11500,,183,44,True
45,Helikaeon,7783026,,63300,48566,679,45,True
46,Denton1o4,7401166,,100600,,,46,True
47,ichamame,7373740,2997,54200,,902,47,True
48,ThoroMG,7363861,,69300,2627,1096,48,True
49,beast,7360310,,8000,,,49,True
50,PWQJEJFL,7352716,7440,102000,25363,964,50,True
51,drikol,7227863,3346,91600,81113,598,51,True
52,TheGuardainz,7208706,,72000,67138,518,52,True
53,Abanob,7190084,18743,19600,13516,224,53,True
54,Kridort,7117728,,8800,,100,54,True
55,lizardcub,7070645,,50800,34278,356,55,True
56,Azorero,6890600,34660,80400,5588,539,56,True
57,FreakyJD,6755114,24486,103600,22065,1506,58,True
58,klA,6703529,,15700,,629,59,True
59,BigZik,6672686,662,76100,30138,898,60,True
60,ZINK,6627895,2492,87000,,1297,61,True
61,RamoxD,6562112,36312,87600,,134,62,True
62,Windows8,6540590,,59200,,999,63,True
63,RisingCrown,6514111,55286,67200,37820,573,64,True
64,Cy4nnn,6167283,,102200,0,604,65,True
65,yakut,6091402,1236,49800,7255,431,66,True
66,Kudgar,5892475,,3700,,,67,True
67,Phantompain,5854540,5547,72800,,143,68,True
68,gabbu,5849660,18697,95000,13197,1309,69,True
69,ERINX,5756903,,69600,48883,448,70,True
70,HEMANN,5650111,1868,95000,,492,71,True
71,weshcoll,5636897,,43500,,518,72,True
72,ROTT,5562180,10247,14600,500,244,73,True
73,hefesto,5532164,,,,,74,True
74,칭키스칸,5494198,,70600,,242,75,True
75,MCGTHEGEMINI,5392821,,48900,,197,76,True
76,Lemarck,5009697,,36500,,450,77,True
77,Tarub,4998349,,33400,,303,78,True
78,ErdiAksoy37,4779030,,59100,,174,79,True
79,KingAnshul,4645409,,11400,,131,80,True
80,YaVuZ,4524063,3509963,17700,3312,141,81,True
81,Rebelyus,4424336,4091,40300,,294,82,True
82,eccnl,1289918,,,,,14,True
83,HoTDog,778496,24866,64700,80265,751,57,True
